Nombre Completo,Pago
Chantal,Chávez,851.5500000000001
Ana,Santoyo,6388.72
Diego,Parra,573.3
Grecia,Sigie,4470.5
Diana,Rivera,4798.0
Patricia,Almeida,489.0
Zoila,Vásquez,2234.7999999999997
Norma,Gaitán,1313.44
Jaime,Ledezma,1155.18
Sandra,Aranda,1266.88
Esmeralda,Casillas,1370.04
Alicia,Dávalos,2281.2400000000002
Diana,Parra,56.24
Jaqueline,Medina,1595.7
Norma,Rubio,1605.3999999999999
Jesús,Guerrero,376.32
Hans,Quiñones,372.75
Marisol,Muñoz,1672.1000000000001
Rubicela,Cobos,190.4
Javier,Pérez,3031.56
María,García,743.04
Jesús,Juárez,290.84000000000003
Lourdes,Orozco,4025.4
María,Martínez,2005.1200000000001
Leonardo,Reyes,5139.49
Norma,Guízar,5410.24
Alan,Vargas,2250.1800000000003
Elsa,Cabrales,353.34
Francisco,Hernández,1292.7
Selene,Lozano,1183.12
Nadia,Rueda,1519.7
Leslie,Anaya,2674.54
Ana,Padilla,640.5
Raquel,Monteón,3389.76
Silvia,Davila,2484.0
Guillermina,Martínez,1843.8799999999999
Carlos,Valenzuela,2749.76
Karla,Guerrero,4479.25
Catalina,Paéz,417.81
Karla,Moncayo,6672.58
Cristian,Chavez,7723.799999999999
José,López,327.84000000000003
José,Salcedo,1928.3000000000002
Armando,Gloria,10282.14
Ana,Canales,650.88
Natalia,Sánchez,7209.84
Ana,González,673.38
Sarahy,Gutiérrez,343.84
Mónica,Ritschard,6850.49
Norma,Romero,92.52
Carlos,Martínez,848.75
Andrea,Fortoul,3796.4700000000003
Diana,Martínez,3671.77
Valdor,González,1753.67
Jennifer,Cárdenas,1292.8799999999999
Anabel,Flores,1558.0500000000002
Guillermo,Jiménez,211.56
Ana,Barrientos,1358.72
César,Terán,2618.88
Karina,Ruiz,2522.56
José,Schultz,427.68
Fatima,Ortiz,6747.44
Maria,Medina,709.46
Monica,García,1919.05
Rodrigo,Rivera,1286.49
Claudia,Flores,923.95
Paulina,Sánchez,22.44
Enrique,Rodríguez,2474.34
Luis,González,173.2
Lourdes,Hernández,312.70000000000005
Fernando,Palomino,4828.83
Fernando,Ramírez,2342.5499999999997
Jenny,Martínez,2969.4
Alejandra,Fernández,132.0
Karime,Jácome,1449.4199999999998
Anna,Gudiño,763.65
Alicia,Rodrik,1077.12
José,González,1818.6
Maritza,Chávez,1433.12
Francisco,Amaral,899.84
Carla,Castro,840.9499999999999
Miguel,Suárez,2975.68
Esperanza,Castolo,2793.7799999999997
José,Valdez,1047.96
Maritza,Ibarra,6921.51
Héctor,Lechuga,134.4
Perla,García,118.44
Enrique,Encinas,3977.1000000000004
Ana,Montoya,1418.28
Dení,Brito,2956.5
Patricia,Ortiz,3430.3500000000004
Joan,Ruíz,739.67
Alejandra,Guerrero,271.92
Sara,Morato,2454.84
Olivia,Galván,4058.45
Karla,Martin,315.85999999999996
Jaime,Fernández,6265.66
Mariana,Castillo,2782.08
Dolores,Díaz,3957.9199999999996
Alberto,Hernández,5548.8
Alejandro,Parga,3180.06
Angelica,Navarro,2010.96
María,Verduzco,3487.36
Andrés,Monraz,2638.56
Guillermo,Padilla,656.96
Alfonso,Lomelí,1759.84
Alejandro,Gómez,1553.44
Martha,Vázquez,1216.26
Mario,Casal,2458.82
Luis,Covarrubias,2783.0
Carlos,Vazquez,4802.56
Ricardo,Hernández,2779.2599999999998
Diego,Sánchez,929.0
Alba,Arias,5689.799999999999
Alberto,Múzquiz,730.08
Jennifer,Plascencia,430.64000000000004
Divanni,Rovelo,1031.5
Daniel,Lepe,1604.26
Cristina,Bretherton,2616.0
Gabriela,Cárdenas,3834.7400000000002
Adriana,Madrigal,5614.5
Bernardo,Bautista,1863.36
Daniel,Salomón,1258.8
Edson,Palazuelos,524.64
Héctor,Soto,760.9599999999999
Eduardo,Larios,4721.200000000001
Montserrat,Herrera,188.54000000000002
Jacqueline,Jáuregui,2436.4800000000005
Rodrigo,Wong,2338.2799999999997
Cristóbal,Cervera,3701.6000000000004
Fabiola,Gómez,4419.599999999999
María,Rojas,1353.9
Julieta,Salcedo,345.20000000000005
Ricardo,Jiménez,2702.35
Chastre,Olivas,389.15000000000003
Juan,García,325.25
Tania,Chávez,7160.16
Víctor,Aguirre,375.70000000000005
Estefania,Barraza,4319.84
Luis,García,3652.23
Manuel,Gutiérrez,3546.54
Lorena,Espinosa,1170.73
Paola,Peña,7980.0
Priscila,Zúñiga,5643.120000000001
Héctor,Borja,197.55
Fernando,Vega,7671.75
Héctor,Hach,1453.5
Octavio,Hernández,1000.4799999999999
Alejandra,González,4387.72
Sofía,Elizalde,267.6
María,Arreola,7073.030000000001
Francisco,Cárdenas,1696.94
Gustavo,Yépiz,2868.3199999999997
Mónica,Díaz,7901.4
Eduardo,Elizondo,3753.18
Vanessa,Canales,2049.69
Moisés,Guerrero,3374.1
Paola,Gutiérrez,4953.21
Beatriz,Sandoval,2259.7
José,Lares,3930.4199999999996
Sergio,Flores,2921.62
Arturo,Infante,2487.24
Julio,Gastélum,1164.8
Cristina,Gil,3729.5
Jessica,Li,5314.5
Daniel,Vargas,2253.6000000000004
Nallely,Hernández,5125.780000000001
Javier,Martínez,4377.45
Héctor,Rascón,818.55
Miguel,Silva,446.58
Aarón,Sánchez,2527.98
Luis,Ávila,423.53999999999996
José,Nagatome,1475.52
Rigoberto,Murillo,3318.24
Marco,Andrade,2974.1899999999996
Margarita,Murillo,6676.56
Carlos,González,2087.4
Hernán,Sandoval,1335.04
Rodrigo,Gutiérrez,1887.0500000000002
Mitchell,Vázquez,4074.0
Katya,Robles,451.2
José,Vázquez,1449.28
Marco,Cárdenas,849.7
Moisés,Castro,2602.6
Gladys,Pérez,3180.02
Luz,Gómez,3871.92
Mario,Correa,949.2
José,González,1246.32
Gabriela,Nieto,756.86
Laura,Anaya,1823.85
Hades,Blanhir,2027.68
Edith,Soto,1882.54
Daniel,Cruz,2393.28
Javier,Sosa,3610.32
Karen,Kuroda,1640.52
José,Castañeda,3135.34
Pedro,Sánchez,1716.0
Maria,Leach,7124.94
Antonio,Méndez,4886.12
Mariangel,Sainz,695.52
Manuel,Valencia,1360.5
Carolina,Ruvalcaba,2175.12
Carlos,Cornejo,3262.08
Lorena,Ponto,2382.24
Nabile,Serrano,3452.9500000000003
Areli,Romanillos,556.22
Claudia,Valdivia,1755.36
Ana,Márquez,1205.82
Patricia,Salcedo,830.56
Samantha,Limón,976.25
Ana,Garcín,5347.05
Fernando,Valencia,547.39
Meiyi,Jiménez,4281.6
María,Rodriguez,639.45
Melisa,Serrano,6667.740000000001
Andrea,Vázquez,1426.3999999999999
Ana,Martín,2890.3500000000004
Francisco,Arcos,3128.16
Víctor,Morales,4870.599999999999
José,Beltrán,1149.6399999999999
Yoichi,Solis,6790.96
Mariana,Tirado,1971.7099999999998
Emilio,Espinoza,4119.5
Jesús,Contreras,1160.42
Manuel,Encinas,923.12
Mariana,Acosta,9590.880000000001
Carlos,Orozco,3085.6
Fabiola,Marcos,3160.2000000000003
Kareleyn,Franco,5010.25
Lorena,Morales,4489.49
Alejandro,Martínez,2549.04
Laura,Michel,134.9
Daniel,Roa,943.3799999999999
Miguel,Valverde,594.72
Eduardo,Ramos,3915.8300000000004
Juan,García,3746.7000000000003
Laura,Plasencia,589.26
Mauricio,Velázquez,5077.02
Martha,Gallardo,4165.5599999999995
Raymundo,Pérez,5008.5
José,Partida,6674.08
Jose,López,4751.08
Mary,Torres,745.89
Emma,Ochoa,2305.84
Brian,López,8278.5
Stefanie,Sandoval,4480.349999999999
Alejandra,Chávez,350.84
Carlos,Reynoso,4905.24
Luis,Sorcia,2860.37
Yesenia,Gutiérrez,2447.6
Rodrigo,Salmón,3141.1800000000003
Francisco,Arballo,4217.400000000001
Alejandro,Atilano,2298.2400000000002
Raúl,Ortíz,1096.56
Julio,Pérez,2260.5
José,Hernández,1543.8
Diego,Alcalá,2496.19
Marco,Zarur,1049.24
Alberto,Durán,5248.56
Patricia,Hernández,1578.9399999999998
René,Castro,4576.490000000001
Manuel,Castro,2215.0800000000004
Minerva,Lara,1162.29
Mónica,Grajeda,3713.04
Antonio,Hernández,1923.31
Guillermo,Guido,7246.36
Barzilaí,Fregoso,3224.2000000000003
Ricardo,Gutiérrez,8616.48
José,Rodríguez,1467.78
Eduardo,Villa,2012.8899999999999
Edgar,Ríos,922.53
Alba,Guillén,2762.1
Roxana,Robles,215.82000000000002
Andrea,Muñoz,2829.0
Marissa,Ramirez,5223.049999999999
Rubén,Sescosse,747.75
María,Padilla,4731.72
José,Silva,3651.4799999999996
Itzel,López,1990.8899999999999
Ana,Ramos,3825.71
Mariano,Acevedo,1200.1999999999998
Juan,Hashimoto,7967.36
Nadya,Balderrama,3411.3599999999997
Joel,Sosa,6244.0
Eduardo,Guajardo,2481.05
Roberto,Rodriguez,2977.39
Claudia,Gutiérrez,2531.9
Paola,Márquez,3211.68
Mildret,Moyano,2938.5
Anabela,Paredes,4346.55
Carolina,Campos,3236.46
César,González,161.31
Freddy,Saracho,5025.12
Cristina,González,6279.28
Carlos,Mena,3126.6
Carlos,García,664.2
Daniel,Martínez,4020.9
María,Astudillo,2021.6000000000001
María,Ordorica,3335.6400000000003
Jéssica,Zohn,1411.1200000000001
Israel,Lemarroy,4784.84
Rafael,Herrera,2737.02
María,Hernández,425.88
Germán,Cueva,423.00000000000006
Alejandra,Reyes,2702.88
Jorge,Wong,2713.59
Juan,González,4200.9400000000005
Daniel,Lomas,6376.320000000001
Erika,Murguia,2146.56
José,Mendoza,3635.7999999999997
Naim,Castellanos,1671.48
Jesrel,Suarez,5327.92
Maria,Ruíz,108.68
Daniela,Ríos,3304.56
Valeria,Rico,280.44
Vivian,García,4964.1
Laura,Flores,2045.76
Ivonne,Franco,10216.8
Miguel,González,1274.7599999999998
Rodolfo,Hernández,3950.35
Rodrigo,Magaña,4378.4400000000005
Anjelina,Jimenez,1335.4
Carlos,García,303.83000000000004
Ana,González,6390.900000000001
Jorge,Rodríguez,503.84
Javier,Pizá,7692.84
Pablo,Ramos,4553.64
David,Villarruel,1930.0499999999997
Catalina,Muñoz,2314.4500000000003
Diego,Mejia,1110.56
Gerardo,Ibarra,1896.21
Rubén,Ortega,610.74
Flor,Ayala,4354.55
Alejandro,Morás,1388.1000000000001
José,Bustos,320.43
Marisol,Bustos,1441.8799999999999
Gerardo,Yáñez,877.92
Gerardo,Pedraza,2242.52
Cristina,Fernández,1995.84
Alex,Merelo,618.2
Luis,García,1333.08
Aarón,García,3393.9
María,Navarro,2691.3900000000003
César,Encarnación,1862.7
Angelica,Staines,1398.25
Ilse,Aldana,5987.250000000001
María,González,519.6800000000001
Luis,González,5274.599999999999
Oscar,Morales,1008.71
Pedro,Torres,2685.5299999999997
Carlos,Landeros,5859.91
Rudy,Torres,3721.62
Cristian,López,1761.8700000000001
Diana,Pineda,3955.5000000000005
Javier,Valdes,3846.96
Xochitl,Avila,605.5
María,Paredes,365.20000000000005
Christian,Montalvan,6127.52
José,Gines,2760.6
Jun,Montes,4203.71
Magdalena,Murphy,5035.52
Karina,García,5997.0
Alejandra,Sistos,257.07
Claudia,Torres,686.88
Diego,Méndez,899.64
Ana,Flores,1811.8799999999999
Rosaura,Ledesma,3055.04
José,Ruiz,2990.3999999999996
Roberto,Magaña,3927.0
Karla,Lara,1020.25
Paola,Sánchez,208.77999999999997
Manuel,Martínez,4151.49
Oswaldo,Saldaña,3668.5
Martha,Martín,1228.48
Carlos,Moreno,1200.06
José,Guzmán,2946.72
Miguel,Paz,1421.42
Abril,Jiménez,2575.8
Karla,Escoto,321.9
Everardo,Moreno,2540.7
Jéssica,Martínez,138.3
Erika,Bedolla,3222.7899999999995
Ruben,Richaud,100.5
Christian,Navarro,2060.8
Carlos,Gutiérrez,2343.7000000000003
Olga,Panduro,459.19999999999993
Paulina,Robles,4253.37
Leonardo,González,441.99
Luis,Cruz,2587.1
Marco,Sánchez,835.1999999999999
Andres,Basañez,1590.45
Diego,Pérez,1919.3199999999997
Elizabeth,Martínez,2188.7999999999997
Sergio,Chávez,4478.32
Alvaro,Chávez,1471.1999999999998
Mariana,Haro,3467.66
Manuel,Velázquez,2612.22
Carlos,Solís,1158.4
Mariana,Cortes,5428.78
José,Martin,875.04
Andrea,Larsen,4626.4
Paloma,Aceves,1118.91
Ana,Zelezarof,1504.98
Alejandro,Gastélum,2177.1
Enrique,Mora,5204.34
Nayeli,Ayala,6096.38
Fernando,Zúñiga,5053.37
Adrián,Camberos,3105.7599999999998
Raúl,López,3736.2599999999998
Liliana,González,377.73
Kenneth,Gil,2823.15
Guillermo,Galindo,5860.8
Gabriela,Benítez,785.57
Omar,Esparza,3660.22
Gina,Villanueva,3222.4
Aarón,Lambert,2592.2200000000003
Patrick,Contreras,2105.6
Luis,Villanueva,2130.5699999999997
Gerardo,Becerra,2669.2799999999997
Karen,Chavolla,936.0
Gloria,Farías,6297.12
Ivette,Freyría,2407.86
Rodrigo,Sanchez,1268.6
Energía,Rivera,6352.389999999999
Elodia,Treppiedi,3107.65
Erick,Gil,2389.76
Jerónimo,Gutiérrez,2357.52
Anahí,López,6827.48
Daniel,Rivera,1469.69
Gabriela,Parra,4320.32
Darío,Figueroa,3200.68
Luis,Ramírez,1350.6000000000001
Norma,Rivas,264.73999999999995
Alberto,Minjares,1291.5
Judith,Márquez,2739.2999999999997
Aurora,Ruiz,888.1999999999999
Salvador,González,1486.8300000000002
Andros,Padilla,385.0
Daniel,Escobedo,3517.7100000000005
Cynthia,Beckmann,2276.0099999999998
José,Teran,4796.1
Alejandra,Trejo,5754.74
Leticia,Rodríguez,972.4300000000001
Rosalinda,Vivanco,2249.4
Sandra,Escutia,235.08
Betsua,Espinosa,7545.419999999999
Aldo,Cruz,1464.87
Bernardo,Favela,957.8
Víctor,Ortiz,547.5600000000001
Alejandro,Martinez,549.9
Luis,Alvarez,4793.599999999999
Carlos,Maza,104.94
Perla,Velázquez,815.83
Mónica,Castellanos,2141.1000000000004
Nadia,Domínguez,2517.12
Tania,Lamadrid,424.39000000000004
Gabriela,Plasencia,720.46
Jorge,Pérez,5168.5
Ricardo,Ponto,1372.4099999999999
José,Quirarte,3293.22
Carlos,Mora,3010.4
Ana,Vázquez,4415.54
Beatriz,Guajardo,3441.24
Arturo,Roldán,508.2
Andrea,Sandoval,5009.68
Rubén,Loaiza,3177.75
Juan,Ocampo,2015.2
Juan,Chipolini,1492.7400000000002
Miguel,Cárdenas,1550.12
Yvette,Dehesa,1866.42
Juan,Casas,4373.6
Francisco,Sanchez,2661.2999999999997
Iván,Rodríguez,3547.08
Charles,Reynoso,1151.36
Jorge,Ramírez,509.6
Edgar,Santillán,726.33
Jesus,Martínez,3954.7200000000003
Anerey,Paulín,187.24
Orlando,Aranda,6469.320000000001
Pablo,Hernández,4093.6500000000005
Tawni,Oseguera,626.36
Marion,Rendon,3112.5
Yara,Retif,3015.74
Francisco,Segura,3730.65
Arturo,Durán,806.4
Lorena,Velázquez,9709.380000000001
Imanol,Zermeño,7008.960000000001
Clarissa,Leal,1789.8400000000001
Marco,Salazar,1309.6000000000001
Felipe,Zapién,3395.1
Iván,Domínguez,7504.62
Ana,Quiñonez,1874.84
Jorge,Colin,2022.53
Martha,Domínguez,1730.82
José,Becerra,248.0
Ana,Becerra,1427.7599999999998
Luis,Pineda,478.26
María,Camargo,2073.8999999999996
Roberto,Arce,831.14
Roberto,Cruz,2201.67
Rene,Moreno,1673.4
Manuel,Buenrostro,251.1
Manuel,Avalos,485.17
Leonel,Barragán,343.8
Jhonatan,Zazueta,1553.58
Corina,Bañuelos,5809.1
Marco,Espinosa,1131.76
Cinthia,Lerma,1689.76
Oliver,Villicaña,3463.7999999999997
Mariluz,Barragán,2384.34
Rene,Hernández,2637.18
Luis,Maldonado,5653.97
Vicente,Padilla,2138.4
Jessica,Reyes,1375.5300000000002
Diego,Encarnación,3363.88
Kareem,Barragán,2415.0
Carlos,Uralde,210.10000000000002
Ileana,Arce,3807.8600000000006
José,Coker,5336.32
Bruno,Ramos,1839.6000000000001
Alvaro,Vega,3027.1499999999996
Paola,Sánchez,4156.21
Luis,Ocampo,2214.63
Carolina,Rodríguez,7839.32
Gerardo,Keibel,4234.5599999999995
Ader,Yivale,484.44
Bernardo,Noriega,3452.76
Carolina,Durán,8001.950000000001
José,Zavala,2012.2
Alberto,Carrera,4466.8
Rene,Calderón,3163.44
Ana,Velázquez,3162.25
Nestor,Romero,138.51
María,Muñoz,2899.7999999999997
Fabiola,Hernández,3528.4999999999995
Cuauhtemoc,Mendieta,1132.92
Bernardo,Ramirez,542.0
Ana,Gomez,4081.9900000000002
Juan,Gómez,342.0
Carlos,López,1023.2700000000001
Alan,Cantero,152.79999999999998
Francisco,Vieyra,7468.660000000001
Patricia,Cendejas,2620.89
Andrea,Escalante,1419.0
Rodrigo,Barragán,7887.71
Francisco,Gonzalez,1001.0
Ricardo,Valdez,4788.8
Elisa,Gutiérrez,2315.22
Oscar,Robles,144.9
Ramiro,Castro,483.40000000000003
Carlos,Cervantes,3978.7200000000003
Abraham,Orozco,2401.4100000000003
Elizabeth,Ruiz,3866.2
Andrea,Arregui,2663.1
José,Fletes,5536.08
Gilda,Castrejón,2633.7000000000003
Michell,Maldonado,2114.31
David,Cuevas,1482.58
Lorena,Delgado,464.31
Armando,Galindo,971.88
Ivonne,Macias,1407.9499999999998
Lucía,Maxemin,1058.3999999999999
Victor,Muñoz,5531.09
Alan,Castro,402.09000000000003
Manuel,Sanchez,9829.84
Oswaldo,Wirz,2214.0
Luz,Corral,4394.84
Jesús,Pérez,3381.27
Fátima,Trujillo,4021.38
Ingrid,Aviña,1268.64
Maria,Flores,988.5200000000001
María,Rodríguez,3236.46
David,Ortiz,1490.24
José,Ortíz,404.6
Victor,Rincón,3030.12
Sofía,Correa,463.76
Lizette,Hernández,5291.4
Luis,Flores,145.57999999999998
Citlali,Aldana,1474.5900000000001
Natalia,Ruiz,615.72
Angelina,Casillas,4049.2000000000003
Lorena,Evangelista,769.47
Hector,Miguel,1154.7900000000002
Miguel,Suárez,1921.6699999999998
Beatríz,Camarena,2037.91
Ricardo,Gómez,2044.0
José,Romo,640.7
Ruth,Silva,1464.5800000000002
Miguel,Ponce,1611.6
Iñigo,Ochoa,1969.6000000000001
Mario,Bojorges,9187.48
Oscar,González,1624.09
Andrea,Orozco,1054.25
Pablo,Charpenel,345.92999999999995
Roberto,Rivera,1306.06
Sandra,Gómez,2259.86
Jorge,Zumaya,425.6
Adriana,Ávila,2709.8
Mirna,Oceguera,354.78000000000003
Pierre,Hernández,2.4
Andres,Barraza,2222.88
Beatriz,Garcia,3470.2400000000002
Luis,Mora,1327.2
Estefania,González,695.9699999999999
Mario,Flores,283.92
Martha,Flores,415.14000000000004
Jose,Guerra,4317.56
Juan,Berber,3066.46
Ruben,Guardado,2703.88
Leonardo,Leyva,3160.9100000000003
Estibaliz,González,2202.84
Erika,Franco,91.0
Daniela,Limberopulos,1185.58
Alejandra,Mendiola,285.44
Alan,Rodríguez,4765.84
Oscar,García,4571.22
Alejandra,Quintana,560.6999999999999
Ricardo,García,5918.4
Alberto,León,2688.25
Fernando,Méndez,1041.44
Ruth,Calderón,3898.8
Juan,Posadas,967.98
Mariana,Rivera,3605.06
Leticia,Lugo,953.04
Gloria,Trinidad,3151.19
Gabriela,Elizalde,2129.7599999999998
Jesús,Ibarra,2014.25
Jaime,Meza,24.32
Romina,Michel,4627.44
Diego,Muñoz,168.72000000000003
Fernando,Nelson,1035.6299999999999
Miguel,Rodriguez,3671.2
Irving,Ortiz,972.6600000000001
Arturo,Padilla,7271.98
Carlos,Jacques,3063.3
Erick,Zazueta,405.96
Ivan,Esquer,7029.44
María,Guevara,2564.7999999999997
Rodrigo,Hernández,2523.3
Jose,Sánchez,1397.6100000000001
Edmundo,Ríos,114.83999999999999
Lorena,Casillas,3515.46
Ilse,García,3529.46
César,Báez,1792.0
Daniel,Domínguez,1895.66
Diana,Barraza,3816.6900000000005
Angélica,Heredia,127.4
Eduardo,Contreras,1269.0100000000002
Jorge,Tamayo,5429.5
Luis,Pulido,2899.6000000000004
Patricia,Weber,5012.28
Alejandro,Becerra,2486.53
Issac,Becerra,768.6
Alejandro,Limon,4169.900000000001
Elena,Muñoz,3896.8
Edgar,González,974.25
Carlos,Ramírez,506.34999999999997
Fernanda,Fernández,1376.55
César,Rochín,2429.72
Ernesto,Bugarín,2881.3199999999997
Francisco,Spangler,2545.95
María,Ochoa,4535.85
Jorge,Moel,7503.5
Mariela,Sustiel,1425.69
Arturo,Cortés,3697.56
Juan,Toussaint,1379.21
Martha,Perales,2797.3399999999997
Andrea,Flores,1884.77
Gabriela,Orozco,493.49999999999994
Patricia,Vázquez,495.55999999999995
Jorge,Fajardo,3609.2999999999997
Mario,Carrillo,6222.820000000001
Kimberly,Baz,389.84999999999997
Jesús,Rendón,557.65
Héctor,Celis,735.46
Ioanis,Chávez,3333.33
Jaime,Zavala,2360.67
Luis,Arao,528.5
David,Torres,1165.8899999999999
Pablo,Newton,949.44
Fernando,Elizalde,2361.5099999999998
María,Cruz,1435.45
Liliana,Rodríguez,2123.5499999999997
Carlos,Quezada,1276.83
Juan,Gallardo,3882.0
Ramón,Gutiérrez,2694.39
Sandra,Tapia,8212.0
Emmanuel,Castillo,2794.71
Oswaldo,Monraz,5619.599999999999
Estela,Kim,7960.700000000001
Thamara,Sanchez,4654.8
Jorge,Silva,256.68
Blanca,Ortega,677.5
Kenia,Topete,8546.48
David,Arellano,227.99999999999997
Roman,Landeros,28.08
Francisco,Mejía,5153.55
Jesús,Galindo,1443.04
Cristina,Cervantes,755.0799999999999
Ada,Bravo,2840.21
Daphne,Aguilera,3121.2
Ana,Olavarrieta,3363.8900000000003
Minerva,Wong,6129.21
Kosmhe,Gómez,420.69
Victor,Ascención,3529.7999999999997
Jorge,López,3500.58
Aida,Rivero,1468.78
Alma,Ortiz,9217.76
Beatriz,Nava,4654.35
Jorge,Hernández,3326.8199999999997
Marco,Rodríguez,3802.04
Alexandra,Crespo,2954.61
Ana,Reséndiz,1405.05
Jorge,Martínez,684.84
Blanca,Rosas,6092.8
Daniel,Amezcua,50.6
Paulina,Delgado,1234.98
Ana,Valle,6128.22
Maria,Salcedo,975.48
Juan,Pardo,3039.04
Ahtziri,Felix,3243.3599999999997
Hussein,Rivera,2278.84
Marco,Sánchez,1011.75
Adhar,Guitrón,538.2
Martín,Padilla,1013.11
Christopher,Padilla,1657.28
Christian,Lara,3499.7599999999998
Eduardo,Parra,1779.68
Alberto,González,3066.25
José,Delgadillo,6093.5
Rene,Mayorga,2436.44
Verónica,Diéguez,286.56
Carolina,Gutierrez,2470.2999999999997
Alejandra,Ruiz,518.88
Heber,Fernandez,1412.73
José,Arévalo,4861.5599999999995
Rafael,Guzmán,463.5799999999999
Mercedes,Diaz,968.94
David,Ruelas,1125.0
Martha,Serrano,486.0
Tania,Soto,339.48
Manuel,Aldana,2117.2799999999997
Seiji,Vázquez,1633.57
Karen,Velázquez,1311.3
Karen,Villarreal,3426.08
Mauricio,Jaramillo,279.3
Karla,Rodríguez,2971.8
Julia,Castillo,956.8000000000001
Jesica,Peña,1200.69
Aarón,Juárez,1330.7600000000002
Paulina,Pacheco,408.63
Brenda,Pérez,2810.1
Alejandro,Chávez,25.53
Emilio,Herrera,6543.030000000001
Ju,Moreno,2236.8
Victor,Fraga,3766.5
Alexandra,Herrera,4186.099999999999
Lobsanth,Ocampo,5705.44
Miriam,Montes,3034.8500000000004
Pedro,Flores,1195.0
Jesús,Carlos,4213.99
Héctor,Govea,3101.7000000000003
Diana,Cabrera,2381.85
Jorge,Valdivia,6320.160000000001
Juan,Leal,78.54
Victoria,Moreno,2463.27
Lissette,Vargas,1013.65
Karla,Bissolotti,636.0
Luis,Jiménez,1378.4
Francisco,Alvarez,607.8
Richard,Gutierrez,1018.6
María,Cruz,2751.3199999999997
Eduardo,Carreón,6933.46
Javier,Nava,1463.57
César,Dahuss,496.47
Alfonso,Williams,2609.6
Ofelia,Aguirre,2318.8599999999997
Sonia,Barragán,5421.45
José,Lopez,973.08
Maria,García,3721.1299999999997
Leonardo,Alvarez,1035.66
Agustín,Lamas,496.8
Gibrán,Lamas,1326.96
Oscar,Velásquez,1288.22
David,Gonzalez,2549.0699999999997
Guillermo,Gomez,1201.8000000000002
Elías,Díaz,3938.48
Agustin,Orozco,3324.6
Claudia,Guzmán,2115.0
Hugo,Ellerbrock,1423.92
Alma,Cabello,1661.4
Pablo,García,4670.14
Santiago,Vázquez,4130.3099999999995
Melissa,Félix,2800.23
José,Valdés,1667.52
Anahí,Jiménez,1232.64
Humberto,Valenzuela,2462.96
Francisco,Alfaro,5083.17
Rodrigo,Domínguez,3902.6400000000003
Juan,Montero,393.79999999999995
Emilio,Viramontes,943.92
Veronica,Martinez,2265.1699999999996
Armida,Figueroa,4730.99
Javier,González,2970.8700000000003
Edgar,García,514.28
José,Rosas,198.49
Daniel,Marrón,5731.88
Omar,García,1755.6
Adrián,Vega,6221.040000000001
Omar,Prado,5880.62
Raymundo,Rábago,14.44
Vannia,Quirarte,2243.52
Mariana,Brambila,4323.54
Mónica,Salas,5188.860000000001
Jose,Espinoza,6048.639999999999
Karen,Quiñonez,2701.44
Juan,Flores,848.64
Guillermo,Morales,3746.17
Raúl,Lazcano,2876.16
Jesús,Osnaya,2947.85
Immanuel,Gómez,3053.0200000000004
Jesús,González,2415.38
Lourdes,Pérez,263.5
Ismael,Solis,8923.5
René,Martínez,2532.18
Humberto,Solbes,10023.6
Alan,Velasco,616.95
Ana,Gutiérrez,724.09
Xóchitl,Alvarez,5837.490000000001
Jorge,Castro,339.36
Hugo,Sánchez,1870.55
Javier,Parra,3521.7
Ricardo,Escobar,1875.42
Aketzalli,Morfín,390.04
José,Sánchez,1682.5
Raúl,Castro,6179.39
Ilse,Yácuta,3338.28
Bruno,Yacuta,1240.98
Ana,García,5021.639999999999
Rosa,Villarreal,305.1
Daniel,Becerril,3862.08
Fabiola,Landazuri,2167.67
Daniel,Díaz,1397.25
María,Ramírez,1990.5
Guillermo,Sainz,1906.58
Alán,Escoto,1505.8799999999999
Oscar,Azuara,5943.070000000001
Tatiana,García,2326.38
Goretty,Chávez,7566.09
Francisco,González,2493.81
Cristóbal,Luquín,5475.03
Margarita,Méndez,2189.04
Margarita,Meade,2220.96
Carla,Godoy,1575.73
Guadalupe,Ochoa,1877.75
Karen,Castillo,1267.35
Rodrigo,Anaya,3060.2
Oscar,Castillo,3254.96
Gaspar,Portugal,3976.44
Annelisse,González,8478.18
Samanta,Torres,1287.68
Sandra,Barajas,4550.0
Alberto,Hashimoto,3265.2000000000003
Tania,Igual,556.6
Fabiola,Kelly,1794.1599999999999
Alejandro,López,1245.2600000000002
Raul,Torres,2152.8900000000003
Araminta,Vega,1382.92
Jindrizka,Wong,1168.3799999999999
Rodrigo,Angulo,8605.48
Jesús,López,8337.390000000001
Ana,López,1443.69
Claudia,Arrieta,3883.41
Pablo,Chávez,3275.9799999999996
Julian,Velázquez,2990.71
María,Pozos,2588.33
Siddharta,Valenzuela,1508.41
Aldo,Padilla,3120.9399999999996
Jorge,Toussaint,6931.320000000001
Karla,Anaya,723.8
Lucia,Urquijo,600.0
Lorena,Vidales,79.04
Claudia,Zayas,2571.5
Alejandra,Castro,5550.72
José,Velarde,1828.3999999999999
Karla,Marmolejo,1848.48
Jesús,Alcalá,782.6
Azael,Casillas,372.0
Ana,Moller,514.33
Alejandro,Guitron,1427.58
Alma,Segura,3573.2999999999997
Jessica,Sarre,1724.7599999999998
Sofía,Santoscoy,3810.9
Damaris,Roque,3918.5
Oscar,Hecht,997.9200000000001
Robert,Arteaga,532.0
Lorenza,Sánchez,1043.55
