Nombre Paterno Hrs Pago
Norma Romero 18 5.14
Carlos Martínez 35 24.25
Andrea Fortoul 43 88.29
Diana Martínez 43 85.39
Valdor González 31 56.57
Jennifer Cárdenas 24 53.87
Anabel Flores 15 103.87
Guillermo Jiménez 41 5.16
Ana Barrientos 22 61.76
César Terán 16 163.68
Karina Ruiz 32 78.83
José Schultz 44 9.72
Fatima Ortiz 56 120.49
Maria Medina 38 18.67
Monica García 35 54.83
Rodrigo Rivera 37 34.77
Claudia Flores 17 54.35
Paulina Sánchez 44 0.51
Enrique Rodríguez 46 53.79
Luis González 20 8.66
Lourdes Hernández 53 5.90
Fernando Palomino 53 91.11
Fernando Ramírez 21 111.55
Jenny Martínez 35 84.84
Alejandra Fernández 30 4.40
Karime Jácome 29 49.98
Anna Gudiño 15 50.91
Alicia Rodrik 34 31.68
José González 60 30.31
Maritza Chávez 26 55.12
Francisco Amaral 32 28.12
Carla Castro 55 15.29
Miguel Suárez 17 175.04
Esperanza Castolo 22 126.99
José Valdez 36 29.11
Maritza Ibarra 57 121.43
Héctor Lechuga 40 3.36
Perla García 18 6.58
Enrique Encinas 54 73.65
Ana Montoya 53 26.76
Dení Brito 18 164.25
Patricia Ortiz 45 76.23
Joan Ruíz 17 43.51
Alejandra Guerrero 24 11.33
Sara Morato 54 45.46
Olivia Galván 47 86.35
Karla Martin 34 9.29
Jaime Fernández 53 118.22
Mariana Castillo 56 49.68
Dolores Díaz 29 136.48
Alberto Hernández 51 108.80
Alejandro Parga 54 58.89
Angelica Navarro 42 47.88
María Verduzco 32 108.98
Andrés Monraz 46 57.36
Guillermo Padilla 32 20.53
Alfonso Lomelí 34 51.76
Alejandro Gómez 16 97.09
Martha Vázquez 58 20.97
Mario Casal 49 50.18
Luis Covarrubias 20 139.15
Carlos Vazquez 32 150.08
Ricardo Hernández 33 84.22
Diego Sánchez 20 46.45
Alba Arias 29 196.20
Alberto Múzquiz 48 15.21
Jennifer Plascencia 28 15.38
Divanni Rovelo 50 20.63
Daniel Lepe 49 32.74
Cristina Bretherton 16 163.50
Gabriela Cárdenas 26 147.49
Adriana Madrigal 50 112.29
Bernardo Bautista 32 58.23
Daniel Salomón 20 62.94
Edson Palazuelos 48 10.93
Héctor Soto 29 26.24
Eduardo Larios 58 81.40
Montserrat Herrera 22 8.57
Jacqueline Jáuregui 36 67.68
Rodrigo Wong 49 47.72
Cristóbal Cervera 40 92.54
Fabiola Gómez 60 73.66
María Rojas 15 90.26
Julieta Salcedo 40 8.63
Ricardo Jiménez 49 55.15
Chastre Olivas 43 9.05
Juan García 25 13.01
Tania Chávez 42 170.48
Víctor Aguirre 17 22.10
Estefania Barraza 56 77.14
Luis García 53 68.91
Manuel Gutiérrez 38 93.33
Lorena Espinosa 29 40.37
Paola Peña 48 166.25
Priscila Zúñiga 42 134.36
Héctor Borja 15 13.17
Fernando Vega 53 144.75
Héctor Hach 25 58.14
Octavio Hernández 26 38.48
Alejandra González 43 102.04
Sofía Elizalde 24 11.15
María Arreola 47 150.49
Francisco Cárdenas 31 54.74
Gustavo Yépiz 26 110.32
Mónica Díaz 52 151.95
Eduardo Elizondo 58 64.71
Vanessa Canales 17 120.57
Moisés Guerrero 30 112.47
Paola Gutiérrez 41 120.81
Beatriz Sandoval 59 38.30
José Lares 26 151.17
Sergio Flores 26 112.37
Arturo Infante 49 50.76
Julio Gastélum 56 20.80
Cristina Gil 50 74.59
Jessica Li 50 106.29
Daniel Vargas 40 56.34
Nallely Hernández 46 111.43
Javier Martínez 35 125.07
Héctor Rascón 17 48.15
Miguel Silva 18 24.81
Aarón Sánchez 26 97.23
Luis Ávila 39 10.86
José Nagatome 32 46.11
Rigoberto Murillo 48 69.13
Marco Andrade 59 50.41
Margarita Murillo 36 185.46
Carlos González 30 69.58
Hernán Sandoval 56 23.84
Rodrigo Gutiérrez 55 34.31
Mitchell Vázquez 40 101.85
Katya Robles 40 11.28
José Vázquez 56 25.88
Marco Cárdenas 29 29.30
Moisés Castro 35 74.36
Gladys Pérez 47 67.66
Luz Gómez 39 99.28
Mario Correa 15 63.28
José González 24 51.93
Gabriela Nieto 26 29.11
Laura Anaya 27 67.55
Hades Blanhir 58 34.96
Edith Soto 43 43.78
Daniel Cruz 18 132.96
Javier Sosa 24 150.43
Karen Kuroda 42 39.06
José Castañeda 31 101.14
Pedro Sánchez 50 34.32
Maria Leach 46 154.89
Antonio Méndez 47 103.96
Mariangel Sainz 42 16.56
Manuel Valencia 30 45.35
Carolina Ruvalcaba 18 120.84
Carlos Cornejo 48 67.96
Lorena Ponto 56 42.54
Nabile Serrano 53 65.15
Areli Romanillos 58 9.59
Claudia Valdivia 16 109.71
Ana Márquez 21 57.42
Patricia Salcedo 16 51.91
Samantha Limón 55 17.75
Ana Garcín 43 124.35
Fernando Valencia 43 12.73
Meiyi Jiménez 32 133.80
María Rodriguez 29 22.05
Melisa Serrano 51 130.74
Andrea Vázquez 40 35.66
Ana Martín 45 64.23
Francisco Arcos 24 130.34
Víctor Morales 35 139.16
José Beltrán 41 28.04
Yoichi Solis 44 154.34
Mariana Tirado 29 67.99
Emilio Espinoza 55 74.90
Jesús Contreras 34 34.13
Manuel Encinas 44 20.98
Mariana Acosta 58 165.36
Carlos Orozco 35 88.16
Fabiola Marcos 60 52.67
Kareleyn Franco 49 102.25
Lorena Morales 29 154.81
Alejandro Martínez 39 65.36
Laura Michel 38 3.55
Daniel Roa 54 17.47
Miguel Valverde 16 37.17
Eduardo Ramos 59 66.37
Juan García 45 83.26
Laura Plasencia 23 25.62
Mauricio Velázquez 39 130.18
Martha Gallardo 36 115.71
Raymundo Pérez 54 92.75
José Partida 59 113.12
Jose López 41 115.88
Mary Torres 47 15.87
Emma Ochoa 41 56.24
Brian López 50 165.57
Stefanie Sandoval 51 87.85
Alejandra Chávez 28 12.53
Carlos Reynoso 41 119.64
Luis Sorcia 31 92.27
Yesenia Gutiérrez 40 61.19
Rodrigo Salmón 54 58.17
Francisco Arballo 30 140.58
Alejandro Atilano 24 95.76
Raúl Ortíz 24 45.69
Julio Pérez 30 75.35
José Hernández 31 49.80
Diego Alcalá 23 108.53
Marco Zarur 34 30.86
Alberto Durán 38 138.12
Patricia Hernández 22 71.77
René Castro 43 106.43
Manuel Castro 54 41.02
Minerva Lara 43 27.03
Mónica Grajeda 36 103.14
Antonio Hernández 41 46.91
Guillermo Guido 44 164.69
Barzilaí Fregoso 28 115.15
Ricardo Gutiérrez 58 148.56
José Rodríguez 34 43.17
Eduardo Villa 29 69.41
Edgar Ríos 21 43.93
Alba Guillén 33 83.70
Roxana Robles 22 9.81
Andrea Muñoz 15 188.60
Marissa Ramirez 35 149.23
Rubén Sescosse 15 49.85
María Padilla 42 112.66
José Silva 46 79.38
Itzel López 33 60.33
Ana Ramos 31 123.41
Mariano Acevedo 34 35.30
Juan Hashimoto 59 135.04
Nadya Balderrama 24 142.14
Joel Sosa 50 124.88
Eduardo Guajardo 55 45.11
Roberto Rodriguez 37 80.47
Claudia Gutiérrez 35 72.34
Paola Márquez 48 66.91
Mildret Moyano 30 97.95
Anabela Paredes 39 111.45
Carolina Campos 19 170.34
César González 19 8.49
Freddy Saracho 58 86.64
Cristina González 56 112.13
Carlos Mena 54 57.90
Carlos García 30 22.14
Daniel Martínez 26 154.65
María Astudillo 28 72.20
María Ordorica 57 58.52
Jéssica Zohn 31 45.52
Israel Lemarroy 37 129.32
Rafael Herrera 33 82.94
María Hernández 26 16.38
Germán Cueva 25 16.92
Alejandra Reyes 16 168.93
Jorge Wong 33 82.23
Juan González 58 72.43
Daniel Lomas 41 155.52
Erika Murguia 48 44.72
José Mendoza 35 103.88
Naim Castellanos 36 46.43
Jesrel Suarez 47 113.36
Maria Ruíz 22 4.94
Daniela Ríos 24 137.69
Valeria Rico 41 6.84
Vivian García 30 165.47
Laura Flores 16 127.86
Ivonne Franco 55 185.76
Miguel González 36 35.41
Rodolfo Hernández 47 84.05
Rodrigo Magaña 33 132.68
Anjelina Jimenez 55 24.28
Carlos García 23 13.21
Ana González 45 142.02
Jorge Rodríguez 16 31.49
Javier Pizá 51 150.84
Pablo Ramos 39 116.76
David Villarruel 15 128.67
Catalina Muñoz 41 56.45
Diego Mejia 22 50.48
Gerardo Ibarra 27 70.23
Rubén Ortega 29 21.06
Flor Ayala 47 92.65
Alejandro Morás 15 92.54
José Bustos 33 9.71
Marisol Bustos 29 49.72
Gerardo Yáñez 24 36.58
Gerardo Pedraza 28 80.09
Cristina Fernández 32 62.37
Alex Merelo 20 30.91
Luis García 42 31.74
Aarón García 54 62.85
María Navarro 39 69.01
César Encarnación 30 62.09
Angelica Staines 35 39.95
Ilse Aldana 45 133.05
María González 58 8.96
Luis González 30 175.82
Oscar Morales 19 53.09
Pedro Torres 31 86.63
Carlos Landeros 49 119.59
Rudy Torres 42 88.61
Cristian López 57 30.91
Diana Pineda 45 87.90
Javier Valdes 36 106.86
Xochitl Avila 25 24.22
María Paredes 20 18.26
Christian Montalvan 56 109.42
José Gines 30 92.02
Jun Montes 49 85.79
Magdalena Murphy 32 157.36
Karina García 60 99.95
Alejandra Sistos 41 6.27
Claudia Torres 24 28.62
Diego Méndez 36 24.99
Ana Flores 18 100.66
Rosaura Ledesma 32 95.47
José Ruiz 24 124.60
Roberto Magaña 35 112.20
Karla Lara 55 18.55
Paola Sánchez 26 8.03
Manuel Martínez 53 78.33
Oswaldo Saldaña 29 126.50
Martha Martín 32 38.39
Carlos Moreno 18 66.67
José Guzmán 42 70.16
Miguel Paz 22 64.61
Abril Jiménez 30 85.86
Karla Escoto 29 11.10
Everardo Moreno 27 94.10
Jéssica Martínez 15 9.22
Erika Bedolla 47 68.57
Ruben Richaud 30 3.35
Christian Navarro 35 58.88
Carlos Gutiérrez 46 50.95
Olga Panduro 28 16.40
Paulina Robles 33 128.89
Leonardo González 27 16.37
Luis Cruz 41 63.10
Marco Sánchez 40 20.88
Andres Basañez 15 106.03
Diego Pérez 52 36.91
Elizabeth Martínez 60 36.48
Sergio Chávez 56 79.97
Alvaro Chávez 24 61.30
Mariana Haro 31 111.86
Manuel Velázquez 51 51.22
Carlos Solís 32 36.20
Mariana Cortes 34 159.67
José Martin 24 36.46
Andrea Larsen 40 115.66
Paloma Aceves 39 28.69
Ana Zelezarof 54 27.87
Alejandro Gastélum 45 48.38
Enrique Mora 58 89.73
Nayeli Ayala 46 132.53
Fernando Zúñiga 49 103.13
Adrián Camberos 47 66.08
Raúl López 54 69.19
Liliana González 27 13.99
Kenneth Gil 55 51.33
Guillermo Galindo 60 97.68
Gabriela Benítez 17 46.21
Omar Esparza 23 159.14
Gina Villanueva 32 100.70
Aarón Lambert 37 70.06
Patrick Contreras 35 60.16
Luis Villanueva 27 78.91
Gerardo Becerra 24 111.22
Karen Chavolla 50 18.72
Gloria Farías 48 131.19
Ivette Freyría 54 44.59
Rodrigo Sanchez 20 63.43
Energía Rivera 43 147.73
Elodia Treppiedi 35 88.79
Erick Gil 32 74.68
Jerónimo Gutiérrez 22 107.16
Anahí López 59 115.72
Daniel Rivera 47 31.27
Gabriela Parra 46 93.92
Darío Figueroa 46 69.58
Luis Ramírez 15 90.04
Norma Rivas 31 8.54
Alberto Minjares 15 86.10
Judith Márquez 46 59.55
Aurora Ruiz 20 44.41
Salvador González 29 51.27
Andros Padilla 22 17.50
Daniel Escobedo 49 71.79
Cynthia Beckmann 57 39.93
José Teran 30 159.87
Alejandra Trejo 53 108.58
Leticia Rodríguez 47 20.69
Rosalinda Vivanco 60 37.49
Sandra Escutia 36 6.53
Betsua Espinosa 54 139.73
Aldo Cruz 23 63.69
Bernardo Favela 20 47.89
Víctor Ortiz 54 10.14
Alejandro Martinez 45 12.22
Luis Alvarez 56 85.60
Carlos Maza 18 5.83
Perla Velázquez 17 47.99
Mónica Castellanos 15 142.74
Nadia Domínguez 48 52.44
Tania Lamadrid 37 11.47
Gabriela Plasencia 26 27.71
Jorge Pérez 50 103.37
Ricardo Ponto 39 35.19
José Quirarte 42 78.41
Carlos Mora 40 75.26
Ana Vázquez 58 76.13
Beatriz Guajardo 44 78.21
Arturo Roldán 33 15.40
Andrea Sandoval 52 96.34
Rubén Loaiza 57 55.75
Juan Ocampo 40 50.38
Juan Chipolini 18 82.93
Miguel Cárdenas 44 35.23
Yvette Dehesa 18 103.69
Juan Casas 40 109.34
Francisco Sanchez 30 88.71
Iván Rodríguez 36 98.53
Charles Reynoso 16 71.96
Jorge Ramírez 20 25.48
Edgar Santillán 31 23.43
Jesus Martínez 56 70.62
Anerey Paulín 31 6.04
Orlando Aranda 58 111.54
Pablo Hernández 55 74.43
Tawni Oseguera 28 22.37
Marion Rendon 30 103.75
Yara Retif 26 115.99
Francisco Segura 33 113.05
Arturo Durán 16 50.40
Lorena Velázquez 57 170.34
Imanol Zermeño 48 146.02
Clarissa Leal 52 34.42
Marco Salazar 40 32.74
Felipe Zapién 30 113.17
Iván Domínguez 57 131.66
Ana Quiñonez 44 42.61
Jorge Colin 41 49.33
Martha Domínguez 21 82.42
José Becerra 20 12.40
Ana Becerra 18 79.32
Luis Pineda 18 26.57
María Camargo 15 138.26
Roberto Arce 58 14.33
Roberto Cruz 51 43.17
Rene Moreno 20 83.67
Manuel Buenrostro 45 5.58
Manuel Avalos 29 16.73
Leonel Barragán 30 11.46
Jhonatan Zazueta 18 86.31
Corina Bañuelos 55 105.62
Marco Espinosa 56 20.21
Cinthia Lerma 59 28.64
Oliver Villicaña 46 75.30
Mariluz Barragán 21 113.54
Rene Hernández 21 125.58
Luis Maldonado 59 95.83
Vicente Padilla 27 79.20
Jessica Reyes 39 35.27
Diego Encarnación 52 64.69
Kareem Barragán 21 115.00
Carlos Uralde 22 9.55
Ileana Arce 59 64.54
José Coker 44 121.28
Bruno Ramos 36 51.10
Alvaro Vega 35 86.49
Paola Sánchez 37 112.33
Luis Ocampo 33 67.11
Carolina Rodríguez 46 170.42
Gerardo Keibel 48 88.22
Ader Yivale 33 14.68
Bernardo Noriega 46 75.06
Carolina Durán 55 145.49
José Zavala 20 100.61
Alberto Carrera 40 111.67
Rene Calderón 28 112.98
Ana Velázquez 35 90.35
Nestor Romero 27 5.13
María Muñoz 36 80.55
Fabiola Hernández 50 70.57
Cuauhtemoc Mendieta 36 31.47
Bernardo Ramirez 50 10.84
Ana Gomez 43 94.93
Juan Gómez 18 19.00
Carlos López 23 44.49
Alan Cantero 40 3.82
Francisco Vieyra 58 128.77
Patricia Cendejas 51 51.39
Andrea Escalante 50 28.38
Rodrigo Barragán 59 133.69
Francisco Gonzalez 25 40.04
Ricardo Valdez 40 119.72
Elisa Gutiérrez 47 49.26
Oscar Robles 42 3.45
Ramiro Castro 20 24.17
Carlos Cervantes 54 73.68
Abraham Orozco 57 42.13
Elizabeth Ruiz 52 74.35
Andrea Arregui 30 88.77
José Fletes 36 153.78
Gilda Castrejón 30 87.79
Michell Maldonado 33 64.07
David Cuevas 22 67.39
Lorena Delgado 21 22.11
Armando Galindo 28 34.71
Ivonne Macias 29 48.55
Lucía Maxemin 36 29.40
Victor Muñoz 43 128.63
Alan Castro 39 10.31
Manuel Sanchez 58 169.48
Oswaldo Wirz 25 88.56
Luz Corral 34 129.26
Jesús Pérez 41 82.47
Fátima Trujillo 27 148.94
Ingrid Aviña 18 70.48
Maria Flores 26 38.02
María Rodríguez 51 63.46
David Ortiz 16 93.14
José Ortíz 20 20.23
Victor Rincón 36 84.17
Sofía Correa 22 21.08
Lizette Hernández 30 176.38
Luis Flores 29 5.02
Citlali Aldana 57 25.87
Natalia Ruiz 21 29.32
Angelina Casillas 53 76.40
Lorena Evangelista 39 19.73
Hector Miguel 27 42.77
Miguel Suárez 41 46.87
Beatríz Camarena 49 41.59
Ricardo Gómez 35 58.40
José Romo 43 14.90
Ruth Silva 43 34.06
Miguel Ponce 34 47.40
Iñigo Ochoa 20 98.48
Mario Bojorges 59 155.72
Oscar González 31 52.39
Andrea Orozco 25 42.17
Pablo Charpenel 39 8.87
Roberto Rivera 38 34.37
Sandra Gómez 19 118.94
Jorge Zumaya 16 26.60
Adriana Ávila 34 79.70
Mirna Oceguera 27 13.14
Pierre Hernández 30 0.08
Andres Barraza 48 46.31
Beatriz Garcia 41 84.64
Luis Mora 15 88.48
Estefania González 37 18.81
Mario Flores 56 5.07
Martha Flores 17 24.42
Jose Guerra 46 93.86
Juan Berber 29 105.74
Ruben Guardado 46 58.78
Leonardo Leyva 37 85.43
Estibaliz González 36 61.19
Erika Franco 26 3.50
Daniela Limberopulos 17 69.74
Alejandra Mendiola 16 17.84
Alan Rodríguez 41 116.24
Oscar García 47 97.26
Alejandra Quintana 18 31.15
Ricardo García 60 98.64
Alberto León 25 107.53
Fernando Méndez 23 45.28
Ruth Calderón 54 72.20
Juan Posadas 17 56.94
Mariana Rivera 53 68.02
Leticia Lugo 24 39.71
Gloria Trinidad 49 64.31
Gabriela Elizalde 29 73.44
Jesús Ibarra 35 57.55
Jaime Meza 16 1.52
Romina Michel 36 128.54
Diego Muñoz 38 4.44
Fernando Nelson 37 27.99
Miguel Rodriguez 40 91.78
Irving Ortiz 39 24.94
Arturo Padilla 37 196.54
Carlos Jacques 30 102.11
Erick Zazueta 51 7.96
Ivan Esquer 44 159.76
María Guevara 56 45.80
Rodrigo Hernández 30 84.11
Jose Sánchez 53 26.37
Edmundo Ríos 44 2.61
Lorena Casillas 39 90.14
Ilse García 22 160.43
César Báez 40 44.80
Daniel Domínguez 23 82.42
Diana Barraza 29 131.61
Angélica Heredia 20 6.37
Eduardo Contreras 19 66.79
Jorge Tamayo 50 108.59
Luis Pulido 44 65.90
Patricia Weber 42 119.34
Alejandro Becerra 23 108.11
Issac Becerra 42 18.30
Alejandro Limon 46 90.65
Elena Muñoz 40 97.42
Edgar González 25 38.97
Carlos Ramírez 19 26.65
Fernanda Fernández 15 91.77
César Rochín 19 127.88
Ernesto Bugarín 26 110.82
Francisco Spangler 55 46.29
María Ochoa 55 82.47
Jorge Moel 50 150.07
Mariela Sustiel 21 67.89
Arturo Cortés 36 102.71
Juan Toussaint 17 81.13
Martha Perales 29 96.46
Andrea Flores 41 45.97
Gabriela Orozco 50 9.87
Patricia Vázquez 26 19.06
Jorge Fajardo 53 68.10
Mario Carrillo 58 107.29
Kimberly Baz 15 25.99
Jesús Rendón 19 29.35
Héctor Celis 22 33.43
Ioanis Chávez 39 85.47
Jaime Zavala 39 60.53
Luis Arao 35 15.10
David Torres 33 35.33
Pablo Newton 24 39.56
Fernando Elizalde 57 41.43
María Cruz 19 75.55
Liliana Rodríguez 33 64.35
Carlos Quezada 27 47.29
Juan Gallardo 50 77.64
Ramón Gutiérrez 29 92.91
Sandra Tapia 50 164.24
Emmanuel Castillo 57 49.03
Oswaldo Monraz 60 93.66
Estela Kim 55 144.74
Thamara Sanchez 54 86.20
Jorge Silva 36 7.13
Blanca Ortega 50 13.55
Kenia Topete 47 181.84
David Arellano 50 4.56
Roman Landeros 24 1.17
Francisco Mejía 43 119.85
Jesús Galindo 58 24.88
Cristina Cervantes 43 17.56
Ada Bravo 47 60.43
Daphne Aguilera 45 69.36
Ana Olavarrieta 43 78.23
Minerva Wong 57 107.53
Kosmhe Gómez 37 11.37
Victor Ascención 53 66.60
Jorge López 41 85.38
Aida Rivero 46 31.93
Alma Ortiz 53 173.92
Beatriz Nava 45 103.43
Jorge Hernández 42 79.21
Marco Rodríguez 44 86.41
Alexandra Crespo 31 95.31
Ana Reséndiz 51 27.55
Jorge Martínez 52 13.17
Blanca Rosas 56 108.80
Daniel Amezcua 23 2.20
Paulina Delgado 27 45.74
Ana Valle 42 145.91
Maria Salcedo 22 44.34
Juan Pardo 32 94.97
Ahtziri Felix 48 67.57
Hussein Rivera 23 99.08
Marco Sánchez 19 53.25
Adhar Guitrón 39 13.80
Martín Padilla 41 24.71
Christopher Padilla 32 51.79
Christian Lara 41 85.36
Eduardo Parra 28 63.56
Alberto González 55 55.75
José Delgadillo 50 121.87
Rene Mayorga 34 71.66
Verónica Diéguez 48 5.97
Carolina Gutierrez 35 70.58
Alejandra Ruiz 48 10.81
Heber Fernandez 33 42.81
José Arévalo 58 83.82
Rafael Guzmán 26 17.83
Mercedes Diaz 42 23.07
David Ruelas 50 22.50
Martha Serrano 60 8.10
Tania Soto 18 18.86
Manuel Aldana 24 88.22
Seiji Vázquez 29 56.33
Karen Velázquez 15 87.42
Karen Villarreal 49 69.92
Mauricio Jaramillo 57 4.90
Karla Rodríguez 30 99.06
Julia Castillo 20 47.84
Jesica Peña 27 44.47
Aarón Juárez 38 35.02
Paulina Pacheco 53 7.71
Brenda Pérez 57 49.30
Alejandro Chávez 23 1.11
Emilio Herrera 39 167.77
Ju Moreno 48 46.60
Victor Fraga 45 83.70
Alexandra Herrera 41 102.10
Lobsanth Ocampo 52 109.72
Miriam Montes 29 104.65
Pedro Flores 20 59.75
Jesús Carlos 29 145.31
Héctor Govea 35 88.62
Diana Cabrera 45 52.93
Jorge Valdivia 54 117.04
Juan Leal 21 3.74
Victoria Moreno 47 52.41
Lissette Vargas 19 53.35
Karla Bissolotti 16 39.75
Luis Jiménez 40 34.46
Francisco Alvarez 20 30.39
Richard Gutierrez 20 50.93
María Cruz 52 52.91
Eduardo Carreón 53 130.82
Javier Nava 19 77.03
César Dahuss 57 8.71
Alfonso Williams 35 74.56
Ofelia Aguirre 46 50.41
Sonia Barragán 47 115.35
José Lopez 17 57.24
Maria García 53 70.21
Leonardo Alvarez 41 25.26
Agustín Lamas 46 10.80
Gibrán Lamas 36 36.86
Oscar Velásquez 41 31.42
David Gonzalez 27 94.41
Guillermo Gomez 30 40.06
Elías Díaz 56 70.33
Agustin Orozco 60 55.41
Claudia Guzmán 30 70.50
Hugo Ellerbrock 24 59.33
Alma Cabello 60 27.69
Pablo García 37 126.22
Santiago Vázquez 37 111.63
Melissa Félix 31 90.33
José Valdés 16 104.22
Anahí Jiménez 16 77.04
Humberto Valenzuela 34 72.44
Francisco Alfaro 51 99.67
Rodrigo Domínguez 46 84.84
Juan Montero 44 8.95
Emilio Viramontes 24 39.33
Veronica Martinez 31 73.07
Armida Figueroa 41 115.39
Javier González 49 60.63
Edgar García 23 22.36
José Rosas 23 8.63
Daniel Marrón 44 130.27
Omar García 21 83.60
Adrián Vega 46 135.24
Omar Prado 58 101.39
Raymundo Rábago 19 0.76
Vannia Quirarte 32 70.11
Mariana Brambila 39 110.86
Mónica Salas 54 96.09
Jose Espinoza 52 116.32
Karen Quiñonez 36 75.04
Juan Flores 48 17.68
Guillermo Morales 41 91.37
Raúl Lazcano 32 89.88
Jesús Osnaya 19 155.15
Immanuel Gómez 46 66.37
Jesús González 22 109.79
Lourdes Pérez 34 7.75
Ismael Solis 54 165.25
René Martínez 42 60.29
Humberto Solbes 60 167.06
Alan Velasco 27 22.85
Ana Gutiérrez 37 19.57
Xóchitl Alvarez 37 157.77
Jorge Castro 21 16.16
Hugo Sánchez 55 34.01
Javier Parra 26 135.45
Ricardo Escobar 46 40.77
Aketzalli Morfín 49 7.96
José Sánchez 25 67.30
Raúl Castro 49 126.11
Ilse Yácuta 54 61.82
Bruno Yacuta 37 33.54
Ana García 52 96.57
Rosa Villarreal 15 20.34
Daniel Becerril 48 80.46
Fabiola Landazuri 41 52.87
Daniel Díaz 23 60.75
María Ramírez 50 39.81
Guillermo Sainz 26 73.33
Alán Escoto 18 83.66
Oscar Azuara 59 100.73
Tatiana García 29 80.22
Goretty Chávez 49 154.41
Francisco González 33 75.57
Cristóbal Luquín 33 165.91
Margarita Méndez 28 78.18
Margarita Meade 24 92.54
Carla Godoy 23 68.51
Guadalupe Ochoa 37 50.75
Karen Castillo 15 84.49
Rodrigo Anaya 55 55.64
Oscar Castillo 58 56.12
Gaspar Portugal 26 152.94
Annelisse González 57 148.74
Samanta Torres 16 80.48
Sandra Barajas 35 130.00
Alberto Hashimoto 36 90.70
Tania Igual 46 12.10
Fabiola Kelly 41 43.76
Alejandro López 19 65.54
Raul Torres 57 37.77
Araminta Vega 28 49.39
Jindrizka Wong 18 64.91
Rodrigo Angulo 52 165.49
Jesús López 57 146.27
Ana López 27 53.47
Claudia Arrieta 57 68.13
Pablo Chávez 38 86.21
Julian Velázquez 59 50.69
María Pozos 41 63.13
Siddharta Valenzuela 17 88.73
Aldo Padilla 38 82.13
Jorge Toussaint 59 117.48
Karla Anaya 44 16.45
Lucia Urquijo 48 12.50
Lorena Vidales 38 2.08
Claudia Zayas 50 51.43
Alejandra Castro 49 113.28
José Velarde 56 32.65
Karla Marmolejo 16 115.53
Jesús Alcalá 35 22.36
Azael Casillas 31 12.00
Ana Moller 19 27.07
Alejandro Guitron 22 64.89
Alma Segura 43 83.10
Jessica Sarre 36 47.91
Sofía Santoscoy 30 127.03
Damaris Roque 50 78.37
Oscar Hecht 28 35.64
Robert Arteaga 38 14.00
Lorenza Sánchez 45 23.19
Paola Asencio 55 54.19
Verónica Castro 58 57.64
Edgar Moscosa 30 8.86
Jorge Flores 25 95.63
Miguel Solorzano 35 124.60
Antonio Martínez 31 11.82
Lorena Magallanes 15 43.52
Andrea Valdez 16 63.55
Carlos Álvarez 53 167.35
José Mora 49 98.05
Claudia Pérez 17 136.82
Laura Coronado 37 39.17
Brenda Godinez 25 70.67
Martha Fadl 23 61.03
Abraham Soto 23 43.70
Ana Camarena 30 76.52
Cristina Huber 40 161.24
Humberto Silva 42 1.58
Francisco Velasco 56 28.87
Juan Tovany 31 149.60
Daniel Sosa 49 84.25
Lucero Gutiérrez 21 72.30
Juan González 30 54.05
Heidy Silva 23 55.56
Paulina Bojórquez 42 47.32
Rafael Orozco 56 128.98
Ana Barrera 21 10.53
Hector Sainz 47 7.52
Emmanuel Villada 38 71.85
Carlos Peña 27 74.42
Celia Gómez 37 20.11
José Sierra 44 71.01
Alba Rodríguez 36 92.88
José Ceja 31 80.55
Perla Gonzalez 39 91.25
Cristopher Garibay 47 36.15
Francisco Elenes 49 69.97
Ana Lewis 33 98.17
Allan Torres 39 67.77
Francisco Alvarado 48 56.12
Carlota Takahashi 29 75.22
Bernardo Bañales 43 5.43
Mónica Mendoza 19 112.05
Thalia Arreola 54 50.92
Francisco Navarro 51 36.89
Pablo Dávila 28 95.11
Giselle Pérez 52 45.83
María Maza 23 173.94
Ivonne Candia 51 32.25
Ramón Delgado 42 119.99
Stephanie León 23 151.26
Lilia Ochoa 22 150.41
Natalia Zepeda 51 43.71
Nicole Basañez 17 146.10
Gibran Franco 35 110.90
Agustín González 58 52.22
Andrea López 19 38.24
Humberto Hinojosa 19 31.44
Alejandro Ubidia 27 77.20
Linda Vázquez 52 70.82
Alejandra Lizárraga 51 68.10
Juan Berecochea 58 56.74
Omar Ramírez 41 69.21
Mariela Gutiérrez 23 72.90
Lorena Carpena 53 99.65
Rocío Avalos 30 1.87
Maria Santos 36 33.45
Tania Cánovas 45 127.71
Paulina Avena 53 156.34
Carlos Ulloa 58 17.07
Gabriel Ortega 30 62.50
Violeta Rosete 35 70.58
José Naya 52 74.01
Eva Rubio 35 58.14
Cecilia Contreras 55 63.11
Sofía Zazueta 31 66.93
Gina Luna 50 23.17
Martín Navarro 32 9.70
Ana Yamuni 44 149.13
Alejandra Martínez 52 56.02
María Conejo 23 59.00
Alba Ruelas 34 187.16
Alma García 33 5.46
Laura Robles 50 124.68
Gabriela Rivera 39 5.72
Fernanda Fernandez 53 0.45
Rodrigo Melo 40 38.76
Rodolfo Vargas 22 44.18
Anna Quesada 28 71.52
Paulina Castañeda 40 45.41
Hugo Rosas 56 86.82
Andres Mora 58 37.52
Cinthia Santana 31 36.11
Lucrecia Zendejas 54 116.35
José Cervantes 57 119.77
David Lozano 58 3.56
Mauricio Osorio 40 7.46
Ignacio Fainchtein 54 8.38
